city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Campbelltown,Campbelltown,-34.0733,150.8261,Australia,AU,AUS,New South Wales,,12566,1036474450
Canberra,Canberra,-35.2931,149.1269,Australia,AU,AUS,Australian Capital Territory,primary,426704,1036142029
Cannington,Cannington,-32.0167,115.95,Australia,AU,AUS,Western Australia,,5929,1036626234
Cannonvale,Cannonvale,-20.2863,148.6866,Australia,AU,AUS,Queensland,,5716,1036428480
Carnarvon,Carnarvon,-24.8672,113.6611,Australia,AU,AUS,Western Australia,,4426,1036344209
Casino,Casino,-28.8483,153.0511,Australia,AU,AUS,New South Wales,,10914,1036855900
Castlemaine,Castlemaine,-37.0636,144.2172,Australia,AU,AUS,Victoria,,6757,1036572269
Ceduna,Ceduna,-32.1167,133.6667,Australia,AU,AUS,South Australia,,2157,1036725988
Central Coast,Central Coast,-33.42,151.3,Australia,AU,AUS,New South Wales,,3026,1036067845
Cessnock,Cessnock,-32.8342,151.3555,Australia,AU,AUS,New South Wales,,21725,1036822046
Charleville,Charleville,-26.4016,146.2383,Australia,AU,AUS,Queensland,,3335,1036575498
Charters Towers,Charters Towers,-20.1,146.2667,Australia,AU,AUS,Queensland,,8120,1036733088
Chinchilla,Chinchilla,-26.7397,150.625,Australia,AU,AUS,Queensland,,6612,1036824282
Clare,Clare,-33.8333,138.6,Australia,AU,AUS,South Australia,,3160,1036842122
Clifton Springs,Clifton Springs,-38.15,144.5667,Australia,AU,AUS,Victoria,,7519,1036319529
Cloncurry,Cloncurry,-20.7,140.5,Australia,AU,AUS,Queensland,,2719,1036672657
Cobram,Cobram,-35.9667,145.65,Australia,AU,AUS,Victoria,,6014,1036438159
Coffs Harbour,Coffs Harbour,-30.3022,153.1189,Australia,AU,AUS,New South Wales,,71822,1036320442
Colac,Colac,-38.3403,143.5847,Australia,AU,AUS,Victoria,,12547,1036633113
Collie,Collie,-33.363,116.156,Australia,AU,AUS,Western Australia,,7192,1036553705
Concord,Concord,-33.8444,151.0903,Australia,AU,AUS,New South Wales,,5914,1036807355
Cooma,Cooma,-36.235,149.1258,Australia,AU,AUS,New South Wales,,6681,1036070931
Cooranbong,Cooranbong,-33.074,151.451,Australia,AU,AUS,New South Wales,,5449,1036555720
Cootamundra,Cootamundra,-34.6417,148.025,Australia,AU,AUS,New South Wales,,6782,1036618399
Corinda,Corinda,-27.4833,153.1,Australia,AU,AUS,Queensland,,11019,1036501460
Corowa,Corowa,-35.9833,146.3833,Australia,AU,AUS,New South Wales,,5482,1036866154
Cowell,Cowell,-33.6833,136.9167,Australia,AU,AUS,South Australia,,1109,1036921929
Cowra,Cowra,-33.8183,148.6578,Australia,AU,AUS,New South Wales,,10063,1036204877
Currumbin,Currumbin,-28.158,153.469,Australia,AU,AUS,Queensland,,9121,1036194178
Dalby,Dalby,-27.1833,151.2667,Australia,AU,AUS,Queensland,,12719,1036053707
Dandenong,Dandenong,-37.981,145.215,Australia,AU,AUS,Victoria,,29906,1036214023
Darley,Darley,-37.6547,144.437,Australia,AU,AUS,Victoria,,8372,1036031812
Darwin,Darwin,-12.4381,130.8411,Australia,AU,AUS,Northern Territory,admin,136828,1036497565
Deniliquin,Deniliquin,-35.5317,144.9344,Australia,AU,AUS,New South Wales,,7862,1036325219
Devonport,Devonport,-41.1806,146.3464,Australia,AU,AUS,Tasmania,,23046,1036033175
Dromana,Dromana,-38.338,144.965,Australia,AU,AUS,Victoria,,5803,1036001258
Drouin,Drouin,-38.1333,145.85,Australia,AU,AUS,Victoria,,11887,1036564546
Dubbo,Dubbo,-32.2569,148.6011,Australia,AU,AUS,New South Wales,,38392,1036855042
Dunsborough,Dunsborough,-33.6167,115.1,Australia,AU,AUS,Western Australia,,5320,1036428544
East Ballina,East Ballina,-28.8594,153.5872,Australia,AU,AUS,New South Wales,,5571,1036094141
Echuca,Echuca,-36.1333,144.75,Australia,AU,AUS,Victoria,,14934,1036292989
Eidsvold,Eidsvold,-25.3667,151.1333,Australia,AU,AUS,Queensland,,574,1036235197
Emerald,Emerald,-23.5167,148.15,Australia,AU,AUS,Queensland,,14119,1036124660
Emerald,Emerald,-37.9331,145.437,Australia,AU,AUS,Victoria,,5778,1036823239
Emu Plains,Emu Plains,-33.7483,150.6678,Australia,AU,AUS,New South Wales,,8421,1036920187
Esperance,Esperance,-33.8611,121.8919,Australia,AU,AUS,Western Australia,,12145,1036299314
Exmouth,Exmouth,-21.9331,114.1281,Australia,AU,AUS,Western Australia,,2486,1036006022
Forbes,Forbes,-33.3833,148.0167,Australia,AU,AUS,New South Wales,,8432,1036523834
Forster,Forster,-32.1806,152.5117,Australia,AU,AUS,New South Wales,,13740,1036685795
Frankston,Frankston,-38.158,145.135,Australia,AU,AUS,Victoria,,36097,1036126828
Fremantle,Fremantle,-32.0569,115.7439,Australia,AU,AUS,Western Australia,,7459,1036824217
Gatton,Gatton,-27.5611,152.2755,Australia,AU,AUS,Queensland,,7101,1036434682
Gawler,Gawler,-34.5981,138.745,Australia,AU,AUS,South Australia,,26472,1036309493
Geelong,Geelong,-38.15,144.35,Australia,AU,AUS,Victoria,,263280,1036870987
Georgetown,Georgetown,-18.3,143.55,Australia,AU,AUS,Queensland,,348,1036412066
Geraldton,Geraldton,-28.7744,114.6089,Australia,AU,AUS,Western Australia,,37648,1036811875
Gingin,Gingin,-31.34,115.91,Australia,AU,AUS,Western Australia,,852,1036686561
Gisborne,Gisborne,-37.49,144.5889,Australia,AU,AUS,Victoria,,13963,1036388639
Gladstone,Gladstone,-23.8489,151.2625,Australia,AU,AUS,Queensland,,33418,1036070755
Glen Innes,Glen Innes,-29.75,151.7361,Australia,AU,AUS,New South Wales,,6155,1036276799
Glenbrook,Glenbrook,-33.765,150.6267,Australia,AU,AUS,New South Wales,,5051,1036560336
Gold Coast,Gold Coast,-28.0167,153.4,Australia,AU,AUS,Queensland,,679127,1036153217
Goondiwindi,Goondiwindi,-28.5461,150.3097,Australia,AU,AUS,Queensland,,6355,1036452066
Goonellabah,Goonellabah,-28.815,153.3178,Australia,AU,AUS,New South Wales,,12900,1036897159
Gordonvale,Gordonvale,-17.0936,145.7866,Australia,AU,AUS,Queensland,,6671,1036505934
Goulburn,Goulburn,-34.7547,149.6186,Australia,AU,AUS,New South Wales,,23835,1036347537
Gracemere,Gracemere,-23.4333,150.45,Australia,AU,AUS,Queensland,,11315,1036779939
Grafton,Grafton,-29.6833,152.9333,Australia,AU,AUS,New South Wales,,19078,1036615468
Granville,Granville,-33.8578,151.0106,Australia,AU,AUS,New South Wales,,5500,1036825743
Griffith,Griffith,-34.29,146.04,Australia,AU,AUS,New South Wales,,20251,1036563313
Gunnedah,Gunnedah,-30.9667,150.25,Australia,AU,AUS,New South Wales,,9726,1036500021
Gympie,Gympie,-26.19,152.6655,Australia,AU,AUS,Queensland,,21599,1036391013
Halls Creek,Halls Creek,-18.23,127.67,Australia,AU,AUS,Western Australia,,1546,1036444511
Hamilton,Hamilton,-37.7333,142.0167,Australia,AU,AUS,Victoria,,9974,1036699883
Healesville,Healesville,-37.6561,145.5139,Australia,AU,AUS,Victoria,,7461,1036553015
Helensburgh,Helensburgh,-34.1833,151,Australia,AU,AUS,New South Wales,,6383,1036359360
Hervey Bay,Hervey Bay,-25.2853,152.8728,Australia,AU,AUS,Queensland,,54674,1036833938
Highfields,Highfields,-27.4581,151.9492,Australia,AU,AUS,Queensland,,8131,1036399510
Hobart,Hobart,-42.8806,147.325,Australia,AU,AUS,Tasmania,admin,240342,1036679838
Horsham,Horsham,-36.7167,142.2,Australia,AU,AUS,Victoria,,16514,1036654340
Howard Springs,Howard Springs,-12.4922,131.053,Australia,AU,AUS,Northern Territory,,5132,1036674070
Hughenden,Hughenden,-20.8438,144.1986,Australia,AU,AUS,Queensland,,1136,1036738932
Ingham,Ingham,-18.65,146.1667,Australia,AU,AUS,Queensland,,4357,1036238542
Innisfail,Innisfail,-17.5236,146.0292,Australia,AU,AUS,Queensland,,7236,1036930229
Inverell,Inverell,-29.7817,151.1178,Australia,AU,AUS,New South Wales,,11660,1036652902
Inverloch,Inverloch,-38.6334,145.7278,Australia,AU,AUS,Victoria,,5437,1036393902
Ipswich,Ipswich,-27.6167,152.7667,Australia,AU,AUS,Queensland,,163000,1036244388
Irymple,Irymple,-34.2333,142.1667,Australia,AU,AUS,Victoria,,5325,1036990765
Ivanhoe,Ivanhoe,-32.8983,144.3,Australia,AU,AUS,New South Wales,,327,1036571526
Jimboomba,Jimboomba,-27.8333,153.0333,Australia,AU,AUS,Queensland,,13201,1036214142
Kalbarri,Kalbarri,-27.71,114.16,Australia,AU,AUS,Western Australia,,1349,1036429141
Kalgoorlie,Kalgoorlie,-30.7489,121.4658,Australia,AU,AUS,Western Australia,,29849,1036087904
Kangaroo Flat,Kangaroo Flat,-36.8,144.25,Australia,AU,AUS,Victoria,,10394,1036769935
Karratha,Karratha,-20.7364,116.8464,Australia,AU,AUS,Western Australia,,16708,1036951388
Karumba,Karumba,-17.4838,140.8397,Australia,AU,AUS,Queensland,,531,1036926106
Katanning,Katanning,-33.6908,117.5553,Australia,AU,AUS,Western Australia,,3687,1036411379
Katherine,Katherine,-14.4667,132.2667,Australia,AU,AUS,Northern Territory,,1488,1036323110
Katoomba,Katoomba,-33.715,150.3128,Australia,AU,AUS,New South Wales,,7964,1036674004
Kelso,Kelso,-33.4186,149.6056,Australia,AU,AUS,New South Wales,,8968,1036270756
Kempsey,Kempsey,-31.0833,152.8333,Australia,AU,AUS,New South Wales,,15309,1036897003
Kiama,Kiama,-34.6708,150.8542,Australia,AU,AUS,New South Wales,,7700,1036754695
Kiama Downs,Kiama Downs,-34.6317,150.8511,Australia,AU,AUS,New South Wales,,5004,1036560277
Kilmore,Kilmore,-37.2833,144.95,Australia,AU,AUS,Victoria,,7958,1036740563
Kimba,Kimba,-33.1333,136.417,Australia,AU,AUS,South Australia,,629,1036035341
Kingaroy,Kingaroy,-26.5333,151.8333,Australia,AU,AUS,Queensland,,10398,1036463308
Kingoonya,Kingoonya,-30.9,135.3,Australia,AU,AUS,South Australia,,13,1036942792
Kingscliff,Kingscliff,-28.2564,153.5781,Australia,AU,AUS,New South Wales,,7464,1036796141
Kingston,Kingston,-42.9769,147.3083,Australia,AU,AUS,Tasmania,,10409,1036297213
Kingston South East,Kingston South East,-36.8167,139.85,Australia,AU,AUS,South Australia,,1648,1036261175
Kununurra,Kununurra,-15.7736,128.7386,Australia,AU,AUS,Western Australia,,5308,1036556231
Kurri Kurri,Kurri Kurri,-32.8167,151.4833,Australia,AU,AUS,New South Wales,,6044,1036219161
Kwinana,Kwinana,-32.2394,115.7702,Australia,AU,AUS,Western Australia,,20086,1036753478
Kyabram,Kyabram,-36.3167,145.05,Australia,AU,AUS,Victoria,,7321,1036000064
Kyneton,Kyneton,-37.2333,144.45,Australia,AU,AUS,Victoria,,6951,1036250832
Lara,Lara,-38.0167,144.4167,Australia,AU,AUS,Victoria,,16355,1036754750
Launceston,Launceston,-41.4419,147.145,Australia,AU,AUS,Tasmania,,87328,1036170383
Laverton,Laverton,-28.628,122.403,Australia,AU,AUS,Western Australia,,871,1036624366
Leeton,Leeton,-34.5483,146.4011,Australia,AU,AUS,New South Wales,,8623,1036102538
Lennox Head,Lennox Head,-28.7983,153.5844,Australia,AU,AUS,New South Wales,,6407,1036688711
Leongatha,Leongatha,-38.4833,145.95,Australia,AU,AUS,Victoria,,5119,1036910660
Leonora,Leonora,-28.88,121.33,Australia,AU,AUS,Western Australia,,781,1036140404
Leopold,Leopold,-38.1892,144.4644,Australia,AU,AUS,Victoria,,12814,1036263278
Lesmurdie,Lesmurdie,-31.994,116.05,Australia,AU,AUS,Western Australia,,8437,1036803976
Lismore,Lismore,-28.8167,153.2833,Australia,AU,AUS,New South Wales,,28720,1036024174
Lithgow,Lithgow,-33.4833,150.15,Australia,AU,AUS,New South Wales,,12973,1036591538
Longreach,Longreach,-23.4422,144.2491,Australia,AU,AUS,Queensland,,2970,1036622618
Lysterfield,Lysterfield,-37.9333,145.3,Australia,AU,AUS,Victoria,,6663,1036662782
Mackay,Mackay,-21.1411,149.1861,Australia,AU,AUS,Queensland,,80148,1036507374
Maffra,Maffra,-37.95,146.983,Australia,AU,AUS,Victoria,,5280,1036194694
Maitland,Maitland,-32.7167,151.55,Australia,AU,AUS,New South Wales,,78015,1036034945
Mandurah,Mandurah,-32.5289,115.7231,Australia,AU,AUS,Western Australia,,7837,1036773118
Manjimup,Manjimup,-34.2411,116.1464,Australia,AU,AUS,Western Australia,,4349,1036022434
Mareeba,Mareeba,-16.9833,145.4167,Australia,AU,AUS,Queensland,,11079,1036797275
Margaret River,Margaret River,-33.955,115.075,Australia,AU,AUS,Western Australia,,6392,1036193817
Maryborough,Maryborough,-25.5375,152.7019,Australia,AU,AUS,Queensland,,27282,1036205623
Maryborough,Maryborough,-37.05,143.735,Australia,AU,AUS,Victoria,,7921,1036781601
McMinns Lagoon,McMinns Lagoon,-12.5329,131.05,Australia,AU,AUS,Northern Territory,,5025,1036673821
Meekatharra,Meekatharra,-26.5931,118.4911,Australia,AU,AUS,Western Australia,,708,1036608457
Melbourne,Melbourne,-37.8136,144.9631,Australia,AU,AUS,Victoria,admin,5078193,1036533631
Melton,Melton,-37.6833,144.5833,Australia,AU,AUS,Victoria,,8069,1036007778
Meningie,Meningie,-35.6883,139.338,Australia,AU,AUS,South Australia,,1118,1036445634
Merimbula,Merimbula,-36.8983,149.9011,Australia,AU,AUS,New South Wales,,3544,1036933197
Merredin,Merredin,-31.482,118.279,Australia,AU,AUS,Western Australia,,2850,1036578320
Merrimac,Merrimac,-28.05,153.3667,Australia,AU,AUS,New South Wales,,7071,1036000674
Mildura,Mildura,-34.1889,142.1583,Australia,AU,AUS,Victoria,,32738,1036624348
Mittagong,Mittagong,-34.45,150.45,Australia,AU,AUS,New South Wales,,8999,1036443307
Moe,Moe,-38.1722,146.2678,Australia,AU,AUS,Victoria,,8778,1036922580
Mooroopna,Mooroopna,-36.3833,145.35,Australia,AU,AUS,Victoria,,7942,1036788714
Moranbah,Moranbah,-22.0016,148.0533,Australia,AU,AUS,Queensland,,8735,1036916453
Morawa,Morawa,-29.2111,116.009,Australia,AU,AUS,Western Australia,,532,1036194388
Moree,Moree,-29.465,149.8344,Australia,AU,AUS,New South Wales,,9311,1036377829
Morwell,Morwell,-38.2333,146.4,Australia,AU,AUS,Victoria,,14026,1036750619
Moss Vale,Moss Vale,-34.5483,150.3678,Australia,AU,AUS,New South Wales,,8579,1036872626
Mount Barker,Mount Barker,-35.0667,138.85,Australia,AU,AUS,South Australia,,16629,1036530325
Mount Barker,Mount Barker,-34.63,117.6669,Australia,AU,AUS,Western Australia,,1905,1036651498
Mount Cotton,Mount Cotton,-27.6188,153.221,Australia,AU,AUS,Queensland,,6835,1036481380
Mount Eliza,Mount Eliza,-38.189,145.092,Australia,AU,AUS,Victoria,,17888,1036041769
Mount Evelyn,Mount Evelyn,-37.7833,145.3833,Australia,AU,AUS,Victoria,,9702,1036617292
Mount Gambier,Mount Gambier,-37.8294,140.7828,Australia,AU,AUS,South Australia,,29639,1036932780
Mount Isa,Mount Isa,-20.7333,139.5,Australia,AU,AUS,Queensland,,18588,1036386100
Mount Magnet,Mount Magnet,-28.06,117.846,Australia,AU,AUS,Western Australia,,470,1036327720
Mudgee,Mudgee,-32.6125,149.5872,Australia,AU,AUS,New South Wales,,10923,1036213564
Murray Bridge,Murray Bridge,-35.117,139.267,Australia,AU,AUS,South Australia,,18779,1036345943
Murwillumbah,Murwillumbah,-28.3333,153.3833,Australia,AU,AUS,New South Wales,,7032,1036989894
Muswellbrook,Muswellbrook,-32.2654,150.8885,Australia,AU,AUS,New South Wales,,12364,1036253543
Nambour,Nambour,-26.6269,152.9592,Australia,AU,AUS,Queensland,,11187,1036804920
Nambucca Heads,Nambucca Heads,-30.6414,152.9906,Australia,AU,AUS,New South Wales,,6327,1036453067
Naracoorte,Naracoorte,-36.955,140.7429,Australia,AU,AUS,South Australia,,5960,1036098836
Narangba,Narangba,-27.2015,152.9655,Australia,AU,AUS,Queensland,,18573,1036559054
Narrabri,Narrabri,-30.3317,149.7678,Australia,AU,AUS,New South Wales,,7606,1036714493
Narre Warren North,Narre Warren North,-37.9833,145.3167,Australia,AU,AUS,Victoria,,7674,1036476634
Narrogin,Narrogin,-32.936,117.178,Australia,AU,AUS,Western Australia,,4274,1036221961
Nelson Bay,Nelson Bay,-32.715,152.1511,Australia,AU,AUS,New South Wales,,11820,1036777604
Nerang,Nerang,-27.9956,153.322,Australia,AU,AUS,Queensland,,16864,1036082899
New Norfolk,New Norfolk,-42.7828,147.0594,Australia,AU,AUS,Tasmania,,5432,1036880683
Newcastle,Newcastle,-32.9167,151.75,Australia,AU,AUS,New South Wales,,322278,1036468001
Newman,Newman,-23.3539,119.7319,Australia,AU,AUS,Western Australia,,4567,1036587511
Norseman,Norseman,-32.1961,121.778,Australia,AU,AUS,Western Australia,,581,1036257263
North Mackay,North Mackay,-21.1216,149.1783,Australia,AU,AUS,Queensland,,5933,1036075287
North Tamborine,North Tamborine,-27.9694,153.1992,Australia,AU,AUS,Queensland,,7506,1036063516
Northam,Northam,-31.6531,116.6661,Australia,AU,AUS,Western Australia,,6548,1036868267
Nowra,Nowra,-34.8833,150.6,Australia,AU,AUS,New South Wales,,37420,1036984536
Nuriootpa,Nuriootpa,-34.4667,138.9833,Australia,AU,AUS,South Australia,,6314,1036952732
Oatlands,Oatlands,-42.2996,147.3666,Australia,AU,AUS,Tasmania,,1157,1036926323
Ocean Shores,Ocean Shores,-28.5092,153.5375,Australia,AU,AUS,New South Wales,,5137,1036584832
Onslow,Onslow,-21.6333,115.1167,Australia,AU,AUS,Western Australia,,857,1036255184
Orange,Orange,-33.2833,149.1,Australia,AU,AUS,New South Wales,,40493,1036760396
Ouyen,Ouyen,-35.0667,142.317,Australia,AU,AUS,Victoria,,1191,1036764173
Pakenham,Pakenham,-38.0712,145.4878,Australia,AU,AUS,Victoria,,46421,1036063031
Palmwoods,Palmwoods,-26.6883,152.9597,Australia,AU,AUS,Queensland,,5676,1036016511
Pannawonica,Pannawonica,-21.6333,116.333,Australia,AU,AUS,Western Australia,,695,1036914573
Parkes,Parkes,-33.095,148.2628,Australia,AU,AUS,New South Wales,,11408,1036977270
Penola,Penola,-37.3786,140.8362,Australia,AU,AUS,South Australia,,1312,1036121853
Penrith,Penrith,-33.7511,150.6942,Australia,AU,AUS,New South Wales,,13295,1036796452
Perth,Perth,-31.9522,115.8589,Australia,AU,AUS,Western Australia,admin,2059484,1036178956
Peterborough,Peterborough,-32.9667,138.8333,Australia,AU,AUS,South Australia,,1416,1036104272
Pine Creek,Pine Creek,-13.8231,131.833,Australia,AU,AUS,Northern Territory,,328,1036858004
Point Vernon,Point Vernon,-25.2538,152.8177,Australia,AU,AUS,Queensland,,5699,1036205903
Port Augusta,Port Augusta,-32.4925,137.7658,Australia,AU,AUS,South Australia,,13799,1036945368
Port Denison,Port Denison,-29.2833,114.9167,Australia,AU,AUS,Western Australia,,1410,1036873405
Port Douglas,Port Douglas,-16.4834,145.4652,Australia,AU,AUS,Queensland,,3504,1036053723
Port Hedland,Port Hedland,-20.31,118.6011,Australia,AU,AUS,Western Australia,,14320,1036509606
Port Lincoln,Port Lincoln,-34.7322,135.8586,Australia,AU,AUS,South Australia,,16326,1036558150
Port Macquarie,Port Macquarie,-31.4333,152.9,Australia,AU,AUS,New South Wales,,47973,1036051032
Port Pirie,Port Pirie,-33.1858,138.0169,Australia,AU,AUS,South Australia,,14188,1036571606
Portland,Portland,-38.3333,141.6,Australia,AU,AUS,Victoria,,10900,1036439594
Pottsville,Pottsville,-28.3869,153.5608,Australia,AU,AUS,New South Wales,,6704,1036001080
Proserpine,Proserpine,-20.4017,148.5814,Australia,AU,AUS,Queensland,,3562,1036150859
Quakers Hill,Quakers Hill,-33.7344,150.8789,Australia,AU,AUS,New South Wales,,27080,1036046868
Queanbeyan,Queanbeyan,-35.3533,149.2342,Australia,AU,AUS,New South Wales,,36348,1036846465
Queenstown,Queenstown,-42.0667,145.55,Australia,AU,AUS,Tasmania,,1790,1036082142
Quilpie,Quilpie,-26.6161,144.2675,Australia,AU,AUS,Queensland,,595,1036696232
Ravensthorpe,Ravensthorpe,-33.5831,120.049,Australia,AU,AUS,Western Australia,,498,1036878618
Raymond Terrace,Raymond Terrace,-32.7615,151.7441,Australia,AU,AUS,New South Wales,,12820,1036570825
Red Cliffs,Red Cliffs,-34.3075,142.1881,Australia,AU,AUS,Victoria,,5060,1036463286
Richmond,Richmond,-33.5983,150.7511,Australia,AU,AUS,New South Wales,,5482,1036934091
Richmond,Richmond,-20.7306,143.1422,Australia,AU,AUS,Queensland,,522,1036156498
Rochedale,Rochedale,-27.5952,153.1233,Australia,AU,AUS,Queensland,,15317,1036018437
Rockhampton,Rockhampton,-23.375,150.5117,Australia,AU,AUS,Queensland,,78592,1036768986
Roebourne,Roebourne,-20.7667,117.15,Australia,AU,AUS,Western Australia,,981,1036752479
Roma,Roma,-26.5733,148.7869,Australia,AU,AUS,Queensland,,6848,1036698836
Rutherford,Rutherford,-32.715,151.5317,Australia,AU,AUS,New South Wales,,11884,1036471917
Rye,Rye,-38.377,144.838,Australia,AU,AUS,Victoria,,8416,1036066082
Sale,Sale,-38.1,147.0667,Australia,AU,AUS,Victoria,,15135,1036960753
Samford,Samford,-27.3667,152.8833,Australia,AU,AUS,Queensland,,10931,1036810408
Sanctuary Point,Sanctuary Point,-35.1036,150.6267,Australia,AU,AUS,New South Wales,,7225,1036336388
Sarina,Sarina,-21.4225,149.2175,Australia,AU,AUS,Queensland,,5522,1036990230
Scone,Scone,-32.0833,150.85,Australia,AU,AUS,New South Wales,,5624,1036918224
Scottsdale,Scottsdale,-41.1667,147.5167,Australia,AU,AUS,Tasmania,,2373,1036807079
Seymour,Seymour,-37.03,145.13,Australia,AU,AUS,Victoria,,6327,1036919223
Shepparton,Shepparton,-36.3833,145.4,Australia,AU,AUS,Victoria,,51631,1036030548
Singleton,Singleton,-32.5667,151.1697,Australia,AU,AUS,New South Wales,,16346,1036947514
